"Date","Price","Open","High","Low","Change %"
"Nov 14, 2017","78.01","78.43","78.47","77.82","-0.54%"
"Nov 13, 2017","78.43","78.80","78.82","78.21","-0.31%"
"Nov 10, 2017","78.67","78.84","78.91","78.43","-0.20%"
"Nov 09, 2017","78.83","79.31","79.48","78.67","-0.61%"
"Nov 08, 2017","79.31","78.66","79.42","78.49","0.80%"
"Nov 07, 2017","78.68","78.96","79.16","78.51","-0.37%"
"Nov 06, 2017","78.97","78.73","79.20","78.58","0.23%"
"Nov 03, 2017","78.79","78.88","79.25","78.74","-0.11%"
"Nov 02, 2017","78.88","78.61","79.01","78.57","0.34%"
"Nov 01, 2017","78.61","77.81","79.01","77.78","1.03%"
"Oct 31, 2017","77.81","77.83","77.89","77.34","-0.01%"
"Oct 30, 2017","77.82","78.03","78.39","77.66","-0.51%"
"Oct 27, 2017","78.22","78.02","78.31","77.86","0.27%"
"Oct 26, 2017","78.01","78.33","78.42","77.83","-0.41%"
"Oct 25, 2017","78.33","78.62","78.75","77.94","-0.36%"
"Oct 24, 2017","78.61","79.02","79.37","78.31","-0.52%"
"Oct 23, 2017","79.02","79.14","79.50","78.92","-0.06%"
"Oct 20, 2017","79.07","79.14","79.28","78.83","-0.09%"
"Oct 19, 2017","79.14","80.78","80.97","78.91","-2.03%"
"Oct 18, 2017","80.78","80.47","80.83","80.19","0.39%"
"Oct 17, 2017","80.47","80.47","80.78","80.27","0.01%"
"Oct 16, 2017","80.46","80.16","80.50","80.07","0.36%"
"Oct 13, 2017","80.17","80.07","80.57","79.83","0.14%"
"Oct 12, 2017","80.06","79.71","80.21","79.58","0.45%"
"Oct 11, 2017","79.70","79.50","79.77","79.27","0.25%"
"Oct 10, 2017","79.50","79.61","79.88","79.27","-0.13%"
"Oct 09, 2017","79.60","79.62","79.85","79.41","-0.39%"
"Oct 06, 2017","79.91","80.27","80.37","79.80","-0.45%"
"Oct 05, 2017","80.27","80.82","80.83","80.20","-0.69%"
"Oct 04, 2017","80.83","80.80","81.16","80.64","0.04%"
"Oct 03, 2017","80.80","81.16","81.28","80.64","-0.42%"
"Oct 02, 2017","81.14","81.27","81.42","80.83","0.09%"
"Sep 29, 2017","81.07","81.30","81.45","81.04","-0.28%"
"Sep 28, 2017","81.30","81.25","81.69","80.97","0.06%"
"Sep 27, 2017","81.25","80.92","81.58","80.84","0.42%"
"Sep 26, 2017","80.91","81.16","81.35","80.49","-0.32%"
"Sep 25, 2017","81.17","82.20","82.59","80.92","-1.25%"
"Sep 22, 2017","82.20","82.19","82.28","81.36","0.01%"
"Sep 21, 2017","82.19","82.56","82.78","82.06","-0.45%"
"Sep 20, 2017","82.56","81.67","82.64","81.42","1.09%"
"Sep 19, 2017","81.67","81.05","81.81","80.91","0.75%"
"Sep 18, 2017","81.06","80.86","81.69","80.72","0.31%"
"Sep 15, 2017","80.81","79.61","81.08","79.23","1.49%"
"Sep 14, 2017","79.62","80.00","80.38","79.55","-0.46%"
"Sep 13, 2017","79.99","80.30","80.41","79.85","-0.39%"
"Sep 12, 2017","80.30","79.38","80.39","78.94","1.17%"
"Sep 11, 2017","79.37","78.62","79.42","78.28","1.30%"
"Sep 08, 2017","78.35","78.43","79.18","78.21","-0.11%"
"Sep 07, 2017","78.44","78.67","78.75","78.19","-0.27%"
"Sep 06, 2017","78.65","78.73","78.87","78.30","-0.11%"
"Sep 05, 2017","78.74","78.59","79.12","78.28","0.19%"
"Sep 04, 2017","78.59","78.23","78.84","78.08","-0.41%"
"Sep 01, 2017","78.91","78.95","79.14","78.64","-0.06%"
"Aug 31, 2017","78.96","79.40","79.65","78.72","-0.57%"
"Aug 30, 2017","79.41","79.62","79.93","79.26","-0.30%"
"Aug 29, 2017","79.65","79.27","79.70","78.29","0.47%"
"Aug 28, 2017","79.28","79.11","79.39","78.88","0.14%"
"Aug 25, 2017","79.17","79.06","79.36","78.86","0.15%"
"Aug 24, 2017","79.05","78.80","79.05","78.48","0.33%"
"Aug 23, 2017","78.79","79.76","79.94","78.56","-1.22%"
"Aug 22, 2017","79.76","79.82","80.14","79.54","-0.10%"
"Aug 21, 2017","79.84","79.96","80.04","79.61","-0.04%"
"Aug 18, 2017","79.87","79.79","80.40","79.52","0.10%"
"Aug 17, 2017","79.79","80.58","80.63","79.71","-0.99%"
"Aug 16, 2017","80.59","80.10","80.70","79.95","0.64%"
"Aug 15, 2017","80.08","79.89","80.64","79.83","0.23%"
"Aug 14, 2017","79.90","79.90","80.24","79.66","-0.03%"
"Aug 11, 2017","79.92","79.44","79.95","79.08","0.59%"
"Aug 10, 2017","79.45","80.77","81.16","79.39","-1.65%"
"Aug 09, 2017","80.78","80.84","80.92","80.22","-0.10%"
"Aug 08, 2017","80.86","81.52","81.60","80.78","-0.85%"
"Aug 07, 2017","81.55","82.00","82.22","81.41","-0.57%"
"Aug 04, 2017","82.02","81.83","82.30","81.70","0.26%"
"Aug 03, 2017","81.81","82.23","82.31","81.64","-0.57%"
"Aug 02, 2017","82.28","82.42","82.52","81.89","-0.16%"
"Aug 01, 2017","82.41","82.86","83.02","82.29","-0.54%"
"Jul 31, 2017","82.86","83.05","83.16","82.53","-0.34%"
"Jul 28, 2017","83.14","83.36","83.42","82.95","-0.23%"
"Jul 27, 2017","83.33","83.64","83.95","83.06","-0.35%"
"Jul 26, 2017","83.62","83.00","83.67","82.89","0.75%"
"Jul 25, 2017","83.00","82.64","83.06","82.36","0.44%"
"Jul 24, 2017","82.64","82.54","82.88","82.28","-0.27%"
"Jul 21, 2017","82.86","82.83","83.22","82.59","0.10%"
